December 2018:  Regularly Scheduled Flights Canceled 5% or More  ,,,,
,,,,
,,,,
Row Number,,,Origin,Destination
1,,,ATL,CLT
2,,,SAN,SFO
3,,,RIC,EWR
4,,,PNS,IAH
5,,,LAN,ORD
6,,,EWR,BNA
7,,,ORD,LAN
8,,,BNA,EWR
9,,,GRI,DFW
10,,,SFB,AVL
11,,,MSP,FAR
12,,,DEN,FAR
13,,,FAR,MSP
14,,,GJT,ASE
15,,,ASE,SLC
16,,,LAX,ASE
17,,,ASE,MSP
18,,,CLT,MDT
19,,,BUR,SEA
20,,,SFO,ORD
21,,,SFO,LAX
22,,,SFO,SAN
23,,,CMH,BWI
24,,,CHS,BWI
25,,,SAN,SFO
26,,,TPA,ATL
27,,,BWI,MDW
28,,,BWI,CHS
29,,,LAX,SFO
30,,,OAK,PHX
31,,,OAK,LAX
32,,,DAL,HOU
33,,,SAN,LAS
34,,,OKC,IAH
35,,,DCA,LGA
36,,,RDU,EWR
37,,,LGA,DCA
38,,,DUT,ANC
39,,,ANC,DUT
40,,,DFW,SHV
41,,,SHV,DFW
42,,,BNA,CLT
43,,,CHS,EWR
44,,,SDF,ORD
45,,,RDU,MDW
46,,,CLT,MDW
47,,,IAD,RDU
48,,,SJC,BUR
49,,,BUR,SJC
50,,,DUT,ANC
51,,,ATL,BTR
52,,,BTR,ATL
53,,,BNA,CLT
54,,,BNA,CLT
55,,,DCA,STL
56,,,DCA,LAN
57,,,LAN,DCA
58,,,LEX,EWR
59,,,EWR,LEX
60,,,EWR,RIC
61,,,FAR,MSP
62,,,EWR,DCA
63,,,EWR,BOS
64,,,BOS,EWR
65,,,MFE,IAH
66,,,IAH,GSP
67,,,EWR,MKE
68,,,IAH,MFE
69,,,BHM,IAH
70,,,MSP,FAR
71,,,FAR,MSP
72,,,DUT,ANC
73,,,CHS,CLT
74,,,CLT,CHS
75,,,CLT,CHS
76,,,CHS,CLT
77,,,ORD,ALB
78,,,SUN,ORD
79,,,DEN,RAP
80,,,ORD,CLT
81,,,CLT,CHA
82,,,CHA,CLT
83,,,EWR,SAV
84,,,SAV,EWR
85,,,MDW,DEN
86,,,DAL,HOU
87,,,BWI,OAK
88,,,MDW,HOU
89,,,ABQ,MDW
90,,,DEN,MCI
91,,,HOU,DAL
92,,,ATL,SAN
93,,,ABQ,DEN
94,,,LAX,OAK
95,,,DAL,PHX
96,,,BWI,PHX
97,,,DAL,HOU
98,,,PHX,MDW
99,,,ATL,DAL
100,,,LAS,IND
101,,,PHL,MCO
102,,,MDW,DCA
103,,,HOU,MCO
104,,,OAK,SNA
105,,,DEN,BWI
106,,,MCI,PHX
107,,,HOU,PHX
108,,,SAN,OAK
109,,,LAX,ELP
110,,,DAL,ATL
111,,,MDW,ATL
112,,,MDW,OAK
113,,,HOU,SAN
114,,,PHX,DEN
115,,,MSY,HOU
116,,,MCO,BWI
117,,,DAL,LAS
118,,,MCO,HOU
119,,,SAN,ATL
120,,,ATL,MCO
121,,,MCO,ATL
122,,,DCA,MDW
123,,,DEN,ABQ
124,,,OAK,LAX
125,,,RDU,IAD
126,,,OKC,DFW
127,,,EWR,SYR
128,,,IND,CLT
129,,,DFW,BTR
130,,,BTR,DFW
131,,,DFW,MKE
132,,,SFO,LAX
133,,,DFW,SAF
134,,,SAF,DFW
135,,,DFW,LRD
136,,,LRD,DFW
137,,,MKE,DFW
138,,,ANC,DUT
139,,,ORD,RST
140,,,RST,ORD
141,,,MKE,DFW
142,,,DFW,MKE
143,,,PIT,EWR
144,,,IAH,LFT
145,,,CVG,EWR
146,,,LAX,SFO
147,,,PHL,RDU
148,,,RDU,CVG
149,,,CVG,RDU
150,,,RDU,PHL
151,,,CLT,RDU
152,,,MSY,CLT
153,,,MCI,CLT
154,,,CLT,IAH
155,,,BDL,CLT
156,,,FLL,CLT
157,,,RDU,CLT
158,,,CLT,MCI
159,,,RIC,CLT
160,,,CLT,RSW
161,,,RSW,CLT
162,,,CLT,FLL
163,,,CLT,BDL
164,,,EWR,CHS
165,,,CHS,EWR
166,,,AVL,ATL
167,,,MSN,ORD
168,,,BNA,EWR
169,,,IAD,SDF
170,,,ORD,MSN
171,,,RDU,EWR
172,,,BOS,RDU
173,,,EWR,RDU
174,,,MCO,RDU
175,,,DUT,ANC
176,,,AZO,ORD
177,,,LGA,RIC
178,,,ORD,RST
179,,,RST,ORD
180,,,LGA,ORF
181,,,CLT,AVL
182,,,AVL,CLT
183,,,CHO,CLT
184,,,MCI,CLT
185,,,DAY,CLT
186,,,CLT,RIC
187,,,RIC,CLT
188,,,PIT,CLT
189,,,CLT,PIT
190,,,CLT,MSY
191,,,MSY,CLT
192,,,CLT,SAV
193,,,SAV,CLT
194,,,BDL,CLT
195,,,CLT,MSY
196,,,MSY,CLT
197,,,IND,CLT
198,,,ROC,CLT
199,,,AGS,CLT
200,,,RDU,EWR
201,,,MSP,GFK
202,,,MOT,MSP
203,,,ALB,ORD
204,,,DCA,RDU
205,,,MSP,RST
206,,,ERI,DTW
207,,,TVC,ORD
208,,,RAP,MSP
209,,,SLC,ASE
210,,,MOT,MSP
211,,,ORD,TVC
212,,,RDU,DCA
213,,,MOT,MSP
214,,,FLO,CLT
215,,,CHO,CLT
216,,,CLT,OAJ
217,,,PHF,CLT
218,,,PHF,CLT
219,,,OAJ,CLT
220,,,RIC,DEN
221,,,LAX,OAK
222,,,RDU,FLL
223,,,TPA,RDU
224,,,MDW,DCA
225,,,ATL,HOU
