MGM airport, AL {Alabama} <default-dot>
ANC airport, AK {Alaska} <default-dot>
PHX airport, AZ {Arizona} <default-dot>
LIT airport, AR {Arkansas} <default-dot>
SMF airport, CA {California} <default-dot>
8500 Peña Blvd, Denver, CO 80249 {Colorado} <default-dot>
BDL airport, CT {Connecticut} <default-dot>
ILG airport, DE {Delaware} <default-dot>
MCO airport, FL {Florida} <default-dot>
ATL airport, GA {Georgia} <default-dot>
HNL airport, HI {Hawaii} <default-dot>
3201 W Airport Way #1000, Boise, ID 83705 {Idaho} <default-dot>
ORD airport, IL {Illinois} <default-dot>
IND airport, IN {Indiana} <default-dot>
DSN airport, IA {Iowa} <default-dot>
MCI airport, KS {Kansas} <default-dot>
SDF airport, KY {Kentucky} <default-dot>
MSY airport, LA {Louisiana} <default-dot>
AUG airport, ME {Maine} <default-dot>
BWI airport, MD {Maryland} <default-dot>
BOS airport, MA {Massachusetts} <default-dot>
DTW airport, MI {Michigan} <default-dot>
MSP airport, MN {Minnesota} <default-dot>
JAN airport, MS {Mississippi} <default-dot>
STL airport, MO {Missouri} <default-dot>
BIL airport, MT {Montana} <default-dot>
LNK airport, NE {Nebraska} <default-dot>
LAS airport, NV {Nevada} <default-dot>
MHT airport, NH Hampshire} <default-dot>
EWR airport, NJ Jersey} <default-dot>
ABQ airport, NM Mexico} <default-dot>
JFK airport, NY York} <default-dot>
CLT airport, NC Carolina} <default-dot>
BIS airport, ND Dakota} <default-dot>
CMH airport, OH {Ohio} <default-dot>
OKC airport, OK {Oklahoma} <default-dot>
PDX airport, OR {Oregon} <default-dot>
PHL airport, PA {Pennsylvania} <default-dot>
PVD airport, RI Island} <default-dot>
CHS airport, SC Carolina} <default-dot>
PIR airport, SD Dakota} <default-dot>
BNA airport, TN {Tennessee} <default-dot>
DFW airport, TX {Texas} <default-dot>
SLC airport, UT {Utah} <default-dot>
MPV airport, VT {Vermont} <default-dot>
RIC airport, VA {Virginia} <default-dot>
SEA airport, WA {Washington} <default-dot>
CRW airport, WV Virginia} <default-dot>
MSN airport, WI {Wisconsin} <default-dot>
CYS airport, WY {Wyoming} <default-dot>
