Origin,Destination
ABE,CLT
ABI,DFW
ABQ,OAK
ABQ,PHX
ABQ,DAL
ABQ,LAS
ABQ,AUS
ABQ,BWI
ABQ,ORD
ABQ,LAX
ABQ,PDX
ABQ,SAN
ABQ,MDW
ABQ,DEN
ABQ,SJC
ABQ,MCI
ABQ,HOU
ABQ,MCO
ABQ,DFW
ABQ,SFO
ABR,MSP
ACT,DFW
ADQ,ANC
AEX,ATL
AGS,CLT
ALB,CLT
ALB,ORD
ALB,PHL
ALB,DTW
ALB,EWR
ALB,MCO
ALW,SEA
AMA,DFW
ANC,DUT
ANC,FAI
ANC,JNU
ANC,ADQ
ANC,OME
ART,PHL
ASE,PHX
ASE,DFW
ASE,SLC
ASE,ORD
ASE,DEN
ASE,ATL
ASE,MSP
ATL,GTR
ATL,AEX
ATL,RDU
ATL,DFW
ATL,DAL
ATL,MGM
ATL,PHX
ATL,TYS
ATL,CSG
ATL,PIA
ATL,HOU
ATL,BTV
ATL,MCO
ATL,CLT
ATL,ELM
ATL,CLE
ATL,DCA
ATL,RIC
ATL,SAT
ATL,LAX
ATL,BWI
ATL,MSY
ATL,AUS
ATL,LGA
ATL,DEN
ATL,GSP
ATL,IND
ATL,AVL
ATL,IAH
ATL,CMH
ATL,FAR
ATL,FLL
ATL,XNA
ATL,TRI
ATL,TPA
ATL,CRW
ATL,EGE
ATL,BTR
ATL,SFO
ATL,ROA
ATL,SAN
ATL,CHO
ATL,BOS
ATL,MIA
ATL,PHF
AUS,CLT
AUS,MCO
AUS,PHX
AUS,SLC
AUS,DEN
AUS,CMH
AUS,DFW
AUS,LAS
AUS,ATL
AVL,CLT
AVL,ATL
AVL,MCO
AVL,ORD
AVL,BWI
AVL,EWR
AVP,CLT
AVP,PHL
AZO,ORD
BDL,DFW
BDL,ORD
BDL,CLT
BDL,DCA
BDL,PHL
BFL,PHX
BGR,EWR
BGR,PHL
BHM,CLT
BHM,DFW
BIL,SEA
BIS,ORD
BIS,DEN
BIS,SFB
BIS,DFW
BLI,SEA
BMI,ORD
BMI,DFW
BNA,MCO
BNA,CLT
BNA,LGA
BNA,EWR
BNA,RDU
BNA,DFW
BNA,SFO
BNA,ATL
BNA,HOU
BNA,ORD
BNA,DCA
BNA,RIC
BNA,LAX
BNA,PHL
BNA,MDW
BOI,PHX
BOI,SFO
BOI,PDX
BOS,BWI
BOS,MDW
BOS,MIA
BOS,RIC
BOS,EWR
BOS,DCA
BOS,RDU
BOS,LGA
BOS,PIT
BOS,CLT
BOS,MDT
BOS,CMH
BOS,LAX
BOS,ORD
BRO,DFW
BTR,CLT
BTR,DFW
BTR,ATL
BTV,PHL
BTV,EWR
BTV,ATL
BTV,CLT
BUF,PHL
BUF,CLT
BUF,EWR
BUF,JFK
BUF,DFW
BUR,PHX
BUR,LAS
BUR,PDX
BUR,DEN
BUR,SMF
BUR,SEA
BWI,MDW
BWI,RDU
BWI,BDL
BWI,MIA
BWI,TPA
BWI,JFK
BWI,MCO
BWI,OAK
BWI,CHS
BWI,PVD
BWI,LAX
BWI,CLT
BWI,FLL
BWI,PHL
BWI,BOS
BWI,AVL
BWI,PHX
BWI,MHT
BWI,ABQ
BWI,DFW
BZN,MSP
BZN,DFW
CAE,CLT
CAE,DFW
CAE,PHL
CAK,CLT
CAK,EWR
CAK,ORD
CDV,ANC
CHA,CLT
CHA,DFW
CHA,ORD
CHO,PHL
CHO,CLT
CHO,ORD
CHO,ATL
CHS,CLT
CHS,EWR
CHS,PHL
CHS,BWI
CID,CLT
CLE,CLT
CLE,ORD
CLE,DFW
CLE,BWI
CLE,EWR
CLL,DFW
CLT,BNA
CLT,SAV
CLT,HPN
CLT,SBY
CLT,SAT
CLT,DEN
CLT,DCA
CLT,GNV
CLT,ROA
CLT,STL
CLT,PIT
CLT,IND
CLT,MYR
CLT,DAL
CLT,RDU
CLT,JFK
CLT,ATL
CLT,FLO
CLT,MSY
CLT,PVD
CLT,CHS
CLT,SAN
CLT,JAN
CLT,MIA
CLT,IAH
CLT,DFW
CLT,MEM
CLT,LYH
CLT,ILM
CLT,LGA
CLT,MSP
CLT,CAE
CLT,RIC
CLT,CHO
CLT,GSP
CLT,ORD
CLT,CVG
CLT,GSO
CLT,AVL
CLT,OAJ
CLT,MCO
CLT,TYS
CLT,MSN
CLT,CHA
CLT,EWR
CLT,AUS
CLT,SFO
CLT,IAD
CLT,ORF
CLT,LAS
CLT,CMH
CLT,MOB
CLT,FAY
CLT,JAX
CLT,CAK
CLT,SBN
CLT,TOL
CLT,CLE
CLT,MDW
CLT,OKC
CLT,BWI
CLT,LEX
CLT,TPA
CLT,SDF
CLT,MLB
CLT,MKE
CLT,CRW
CLT,MCI
CLT,SRQ
CLT,HHH
CLT,PHF
CLT,GRR
CLT,FLL
CLT,DTW
CLT,AVP
CLT,BDL
CLT,EWN
CLT,ABE
CLT,RSW
CLT,GPT
CLT,BHM
CLT,MDT
CLT,FWA
CLT,BTV
CLT,TRI
CLT,LIT
CLT,PGV
CLT,TLH
CLT,AGS
CLT,PWM
CLT,PBI
CLT,HOU
CLT,HTS
CLT,BUF
CLT,SGF
CLT,DAB
CLT,PIA
CLT,XNA
CLT,PNS
CLT,BOS
CLT,DSM
CLT,PHX
CLT,CID
CLT,OMA
CLT,MHT
CLT,DAY
CLT,SLC
CLT,PHL
CLT,VPS
CLT,MGM
CLT,HSV
CLT,ECP
CLT,SYR
CLT,SHV
CLT,EVV
CLT,SJU
CLT,BTR
CLT,TTN
CLT,ROC
CMH,BWI
CMH,ATL
CMH,TPA
CMH,CLT
CMH,MDW
CMH,BOS
CMH,DCA
CMH,PHX
CMH,EWR
CMH,ORD
CMH,AUS
CMH,LGA
CMH,DFW
CMH,DTW
CMH,JFK
CMH,DAL
CMI,ORD
CMX,ORD
CNY,DEN
COS,DFW
COU,ORD
CRP,DFW
CRW,CLT
CSG,ATL
CVG,CLT
CVG,EWR
CVG,PHX
CVG,DFW
CWA,ORD
DAB,CLT
DAL,STL
DAL,LAS
DAL,MSY
DAL,PHX
DAL,CLT
DAL,ABQ
DAL,DEN
DAL,IND
DAL,OKC
DAL,MCO
DAL,BWI
DAL,BNA
DAL,ATL
DAL,SLC
DAL,CMH
DAL,LIT
DAL,MCI
DAY,CLT
DAY,DFW
DAY,EWR
DAY,ORD
DAY,DTW
DBQ,ORD
DCA,ORD
DCA,BOS
DCA,ATL
DCA,STL
DCA,MCO
DCA,PHL
DCA,EWR
DCA,PVD
DCA,CLT
DCA,OKC
DCA,DFW
DCA,CMH
DCA,BNA
DCA,BDL
DCA,SDF
DEN,RAP
DEN,DFW
DEN,CLT
DEN,MOT
DEN,FAR
DEN,ASE
DEN,BWI
DEN,RDU
DEN,DAL
DEN,LGA
DEN,LAR
DEN,AUS
DEN,BIS
DEN,LNK
DEN,ABQ
DEN,LAS
DEN,SUN
DEN,BUR
DEN,RIC
DEN,CNY
DEN,PIT
DEN,HDN
DEN,LBF
DEN,ISN
DEN,SFO
DEN,ELP
DEN,OKC
DEN,MCI
DEN,MDW
DEN,TPA
DEN,EWR
DEN,LAX
DEN,FSD
DEN,PHX
DEN,MIA
DEN,SAF
DFW,CLT
DFW,MCI
DFW,AMA
DFW,SHV
DFW,SFO
DFW,PIT
DFW,GRI
DFW,BTR
DFW,RSW
DFW,MGM
DFW,JAN
DFW,CRP
DFW,BWI
DFW,ATL
DFW,MSY
DFW,MKE
DFW,GCK
DFW,DRT
DFW,GRK
DFW,ONT
DFW,ICT
DFW,IAH
DFW,VPS
DFW,HOU
DFW,LGA
DFW,DCA
DFW,SBN
DFW,ORD
DFW,BHM
DFW,AUS
DFW,OKC
DFW,TUL
DFW,PDX
DFW,MEM
DFW,STL
DFW,DTW
DFW,MCO
DFW,LFT
DFW,FAT
DFW,SLC
DFW,FLL
DFW,EGE
DFW,TPA
DFW,GSO
DFW,LAW
DFW,RDU
DFW,LAS
DFW,MLU
DFW,DRO
DFW,ABI
DFW,FSD
DFW,LBB
DFW,TYS
DFW,MFE
DFW,SAT
DFW,ECP
DFW,MAF
DFW,JFK
DFW,SJT
DFW,SDF
DFW,RNO
DFW,BIS
DFW,SAV
DFW,OMA
DFW,ROW
DFW,PNS
DFW,LIT
DFW,RAP
DFW,LAX
DFW,ABQ
DFW,GSP
DFW,BZN
DFW,IND
DFW,SAF
DFW,JLN
DFW,PHX
DFW,SNA
DFW,COS
DFW,FAR
DFW,CMH
DFW,MOB
DFW,CLE
DFW,XNA
DFW,LRD
DFW,MHK
DFW,SEA
DFW,CLL
DFW,DAY
DFW,ASE
DFW,PHL
DFW,MSP
DFW,TUS
DFW,JAX
DFW,ILM
DFW,CAE
DFW,BNA
DFW,SAN
DFW,BMI
DFW,SMF
DFW,DEN
DFW,EWR
DFW,BRO
DFW,BOS
DFW,DSM
DFW,JAC
DFW,LCH
DFW,BUF
DFW,GEG
DIK,DEN
DLH,MSP
DRO,PHX
DRO,DFW
DRT,DFW
DSM,CLT
DSM,DFW
DTW,MCO
DTW,MQT
DTW,GSO
DTW,GSP
DTW,RIC
DTW,ORD
DTW,DAY
DTW,EWR
DTW,DFW
DTW,CLT
DTW,PHL
DTW,ERI
DTW,ALB
DTW,RDU
DTW,MDT
DTW,LAN
DTW,SDF
DTW,LGA
DTW,PHX
DUT,ANC
EAT,SEA
ECP,DFW
ECP,CLT
EGE,DFW
EGE,JFK
EGE,ORD
EGE,ATL
EGE,EWR
ELM,ATL
ELP,DFW
ELP,DEN
ERI,DTW
EUG,SEA
EUG,PDX
EVV,CLT
EVV,ORD
EVV,DFW
EWN,CLT
EWR,IND
EWR,DEN
EWR,CHS
EWR,CLT
EWR,ROC
EWR,MKE
EWR,SYR
EWR,ORF
EWR,MCO
EWR,GSO
EWR,PQI
EWR,DCA
EWR,PVD
EWR,RIC
EWR,PHX
EWR,ALB
EWR,ELM
EWR,MEM
EWR,BUF
EWR,BTV
EWR,GRR
EWR,PIT
EWR,MDW
EWR,GSP
EWR,BOS
EWR,SFO
EWR,BGR
EWR,PWM
EWR,BNA
EWR,CVG
EWR,MHT
EWR,RDU
EWR,STL
EWR,MSN
EWR,CMH
EWR,AVL
EWR,DTW
EWR,JAX
EWR,AUS
EWR,SAV
EWR,ORD
EWR,CAK
EWR,LEX
FAR,DFW
FAR,ORD
