Origin,Destination,Distance (mi)
ABQ,PHX,328
ABQ,LAS,486
ABQ,BWI,1670
ABQ,ORD,1118
ABQ,PDX,1111
ABQ,DEN,349
ABQ,MCI,718
ABQ,MCO,1553
ABQ,DFW,569
ATL,DFW,731
ATL,PHX,1587
ATL,MCO,404
ATL,CLT,227
ATL,RIC,481
ATL,BWI,577
ATL,MSY,425
ATL,DEN,1199
ATL,IND,432
ATL,CMH,447
ATL,CRW,363
ATL,BOS,946
BDL,DFW,1471
BDL,ORD,783
BDL,CLT,644
BDL,PHL,196
BIL,SEA,664
BIS,ORD,716
BIS,DEN,516
BIS,DFW,977
BNA,MCO,616
BNA,CLT,329
BNA,EWR,748
BNA,DFW,631
BNA,ATL,214
BNA,ORD,409
BNA,RIC,527
BNA,PHL,675
BOI,PHX,735
BOI,PDX,344
BOS,BWI,370
BOS,RIC,474
BOS,EWR,201
BOS,CLT,728
BOS,CMH,640
BOS,ORD,867
BWI,BDL,
BWI,JFK,
BWI,MCO,
BWI,CHS,
BWI,PVD,
BWI,CLT,
BWI,PHL,
BWI,BOS,
BWI,PHX,
BWI,MHT,
BWI,ABQ,1670
BWI,DFW,
CHS,CLT,
CHS,EWR,
CHS,PHL,
CHS,BWI,
CLT,BNA,
CLT,DEN,
CLT,STL,
CLT,IND,
CLT,JFK,
CLT,ATL,227
CLT,MSY,
CLT,PVD,
CLT,CHS,
CLT,JAN,
CLT,DFW,
CLT,MSP,
CLT,RIC,
CLT,ORD,
CLT,MCO,
CLT,MSN,
CLT,EWR,
CLT,LAS,
CLT,CMH,
CLT,OKC,
CLT,BWI,
CLT,SDF,
CLT,CRW,
CLT,MCI,
CLT,DTW,
CLT,BDL,
CLT,LIT,
CLT,BOS,
CLT,PHX,
CLT,MHT,
CLT,SLC,
CLT,PHL,
CMH,BWI,
CMH,ATL,447
CMH,CLT,
CMH,BOS,
CMH,PHX,
CMH,EWR,
CMH,ORD,
CMH,DFW,
CMH,DTW,
CMH,JFK,
CRW,CLT,
DEN,DFW,
DEN,CLT,
DEN,BWI,
DEN,BIS,
DEN,LNK,
DEN,ABQ,349
DEN,LAS,
DEN,RIC,
DEN,OKC,
DEN,MCI,
DEN,EWR,
DEN,PHX,
DFW,CLT,
DFW,MCI,
DFW,JAN,
DFW,BWI,
DFW,ATL,731
DFW,MSY,
DFW,ORD,
DFW,OKC,
DFW,PDX,
DFW,STL,
DFW,DTW,
DFW,MCO,
DFW,SLC,
DFW,LAS,
DFW,JFK,
DFW,SDF,
DFW,BIS,
DFW,LIT,
DFW,ABQ,569
DFW,IND,
DFW,PHX,
DFW,CMH,
DFW,SEA,
DFW,PHL,
DFW,MSP,
DFW,BNA,
DFW,SMF,
DFW,DEN,
DFW,EWR,
DFW,BOS,
DTW,MCO,
DTW,RIC,
DTW,ORD,
DTW,EWR,
DTW,DFW,
DTW,CLT,
DTW,PHL,
DTW,SDF,
DTW,PHX,
EWR,IND,
EWR,DEN,
EWR,CHS,
EWR,CLT,
EWR,MCO,
EWR,PVD,
EWR,RIC,
EWR,PHX,
EWR,BOS,
EWR,BNA,
EWR,MHT,
EWR,STL,
EWR,MSN,
EWR,CMH,
EWR,DTW,
EWR,ORD,
HNL,PHX,
IND,ATL,432
IND,DEN,
IND,MCO,
IND,CLT,
IND,ORD,
IND,PHX,
IND,LAS,
IND,EWR,
IND,MCI,
IND,DFW,
JAN,ORD,
JAN,DFW,
JAN,CLT,
JFK,CLT,
JFK,CMH,
JFK,IND,
JFK,BOS,
JFK,RIC,
JFK,PHL,
JFK,DFW,
LAS,CLT,
LAS,ABQ,486
LAS,MSY,
LAS,DFW,
LAS,PHL,
LAS,PHX,
LAS,IND,
LIT,STL,
LIT,DFW,
LIT,CLT,
LIT,ORD,
LNK,DEN,
MCI,PHX,
MCI,CLT,
MCI,ATL,
MCI,DFW,
MCI,ORD,
MCO,BNA,
MCO,PHL,
MCO,BWI,
MCO,STL,
MCO,RIC,
MCO,ATL,404
MCO,MSY,
MCO,CMH,
MCO,DTW,
MCO,ABQ,1553
MCO,BDL,
MCO,DFW,
MCO,CLT,
MCO,EWR,
MCO,IND,
MHT,BWI,
MHT,PHL,
MHT,EWR,
MHT,CLT,
MSN,CLT,
MSN,ORD,
MSN,DEN,
MSN,EWR,
MSP,CLT,
MSP,DFW,
MSP,BNA,
MSP,RIC,
MSY,DFW,
MSY,CLT,
MSY,ORD,
OKC,DFW,
OKC,CLT,
OKC,PHL,
OKC,ORD,
ORD,RIC,
ORD,CLT,
ORD,IND,
ORD,SDF,
ORD,PHX,
ORD,BOS,
ORD,BDL,
ORD,CMH,
ORD,ABQ,1118
ORD,SLC,
ORD,EWR,
ORD,OKC,
ORD,MSY,
ORD,BIS,
ORD,DFW,
ORD,MCO,
ORD,ATL,
ORD,LIT,
ORD,MSN,
ORD,JAN,
ORD,BNA,
ORD,MCI,
PDX,SEA,
PDX,DFW,
PDX,PHX,
PDX,STL,
PDX,CLT,
PHL,RIC,
PHL,BOS,
PHL,BWI,
PHL,CHS,
PHL,DTW,
PHL,BDL,
PHL,PVD,
PHL,JFK,
PHL,MHT,
PHL,MCO,
PHL,CLT,
PHL,DFW,
PHL,OKC,
PHX,HNL,
PHX,CLT,
PHX,SLC,
PHX,JFK,
PHX,ORD,
PHX,ABQ,328
PHX,DEN,
PHX,DFW,
PHX,PDX,
PHX,MCI,
PHX,STL,
PHX,EWR,
PHX,BOI,
PHX,SMF,
PHX,DTW,
PHX,ATL,1587
PVD,EWR,
PVD,PHL,
PVD,CLT,
PVD,BWI,
RIC,CLT,
RIC,ATL,481
RIC,ORD,
RIC,EWR,
RIC,PHL,
RIC,BOS,
RIC,DTW,
RIC,DEN,
RIC,JFK,
RIC,MSP,
RIC,BNA,
RIC,DFW,
SDF,DFW,
SDF,ORD,
SDF,CLT,
SEA,PDX,
SEA,BIL,
SEA,DFW,
SEA,SMF,
SEA,ABQ,1180
SEA,CLT,
SLC,DFW,
SLC,PHX,
SLC,ORD,
SLC,DEN,
SMF,PHX,
SMF,DFW,
SMF,SEA,
STL,CLT,
STL,DFW,
STL,PHX,
STL,ATL,
STL,CMH,
STL,ORD,
STL,EWR,
